bench,thread,task,duration,reference,TASK DEPENDENCY NEIGHBORS MASTER 1,TASK DEPENDENCY NEIGHBORS MASTER 2,TASK DEPENDENCY NEIGHBORS MASTER 4,TASK DEPENDENCY NEIGHBORS MASTER 8,TASK DEPENDENCY NEIGHBORS MASTER 16,TASK DEPENDENCY NEIGHBORS MASTER 24,TASK DEPENDENCY NEIGHBORS MASTER 32,TASK DEPENDENCY IN LINKED MASTER 1,TASK DEPENDENCY IN LINKED MASTER 2,TASK DEPENDENCY IN LINKED MASTER 4,TASK DEPENDENCY IN LINKED MASTER 8,TASK DEPENDENCY IN LINKED MASTER 16,TASK DEPENDENCY IN LINKED MASTER 24,TASK DEPENDENCY IN LINKED MASTER 32,TASK DEPENDENCY OUT LINKED MASTER 1,TASK DEPENDENCY OUT LINKED MASTER 2,TASK DEPENDENCY OUT LINKED MASTER 4,TASK DEPENDENCY OUT LINKED MASTER 8,TASK DEPENDENCY OUT LINKED MASTER 16,TASK DEPENDENCY OUT LINKED MASTER 24,TASK DEPENDENCY OUT LINKED MASTER 32,TASK DEPENDENCY INOUT LINKED MASTER 1,TASK DEPENDENCY INOUT LINKED MASTER 2,TASK DEPENDENCY INOUT LINKED MASTER 4,TASK DEPENDENCY INOUT LINKED MASTER 8,TASK DEPENDENCY INOUT LINKED MASTER 16,TASK DEPENDENCY INOUT LINKED MASTER 24,TASK DEPENDENCY INOUT LINKED MASTER 32,TASK DEPENDENCY OUT CHAIN MASTER 1,TASK DEPENDENCY OUT CHAIN MASTER 2,TASK DEPENDENCY OUT CHAIN MASTER 4,TASK DEPENDENCY OUT CHAIN MASTER 8,TASK DEPENDENCY OUT CHAIN MASTER 16,TASK DEPENDENCY OUT CHAIN MASTER 24,TASK DEPENDENCY OUT CHAIN MASTER 32,TASK DEPENDENCY INOUT CHAIN MASTER 1,TASK DEPENDENCY INOUT CHAIN MASTER 2,TASK DEPENDENCY INOUT CHAIN MASTER 4,TASK DEPENDENCY INOUT CHAIN MASTER 8,TASK DEPENDENCY INOUT CHAIN MASTER 16,TASK DEPENDENCY INOUT CHAIN MASTER 24,TASK DEPENDENCY INOUT CHAIN MASTER 32
taskbench_intel-17.0.1.132_t2_n1000_d012.8,2,1000,012.8,0.013019,6.775725,6.695366,6.601799,6.629324,6.644058,6.794107,7.045531,6.421590,6.427944,6.485891,6.620526,7.015598,7.754540,8.816707,6.353879,6.362343,6.398177,6.510556,6.970847,7.672715,8.586228,6.351709,6.366611,6.395447,6.514144,6.961763,7.685685,8.600414,12.665808,12.700331,12.781239,12.970352,13.315189,13.642573,13.967693,12.667382,12.703729,12.791622,12.956500,13.330257,13.645077,13.970912
taskbench_mcc.ompss_t2_n5000_d0.2,2,5000,0.2,0.000042,8.014088,11.342874,14.693625,21.033733,33.733327,47.483401,62.301428,10.555563,21.904123,59.382591,139.472349,508.554754,1195.867903,1765.679190,12.915933,25.074787,59.007082,151.996422,455.085068,900.583229,1498.527539,13.549819,25.559828,59.939036,153.900664,458.459449,907.190771,1534.541759,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_mcc.ompss_t1_n1000_d01.6,1,1000,01.6,0.001674,11.419833,16.190672,20.317233,27.579582,43.752682,64.211154,88.468301,8.771992,13.652265,35.715842,78.065050,178.496408,312.599146,478.258073,11.751425,18.686855,39.491546,82.824457,192.942226,339.013159,517.689872,11.811376,18.766689,40.210760,86.896241,203.436780,355.587101,550.875068,7.552874,9.534264,13.275206,21.032465,36.545813,56.660736,77.288091,7.884502,10.118318,15.085924,24.897993,45.181823,70.421588,95.890999
taskbench_mcc.openmp_t2_n5000_d01.6,2,5000,01.6,0.000355,3.510513,4.000611,4.892118,6.536872,9.480684,12.658184,17.072899,3.131275,3.908119,6.950405,13.417926,24.229674,34.241848,45.763779,3.585091,5.378294,7.996707,16.808643,28.667941,40.100820,54.453895,3.743014,5.486135,8.268964,17.393930,29.357867,40.875561,56.139224,4.572577,4.101682,5.612695,11.796117,17.583447,23.299632,27.602561,3.768573,4.096546,5.632262,11.851985,18.026989,23.310959,27.939925
taskbench_intel_t2_n5000_d01.6,2,5000,01.6,0.000342,1.181781,1.385851,1.711075,2.361619,3.828349,5.684290,8.035109,2.045820,3.999474,8.831632,20.109804,49.256523,88.645213,140.788608,3.942127,6.716182,12.288747,24.594769,54.646358,90.006344,132.624705,6.861475,10.771084,18.620369,35.618403,74.056132,118.984816,170.279016,2.122006,2.178297,2.238040,2.335570,2.515421,2.669148,2.737026,2.144902,2.315116,2.382569,2.461917,2.568476,2.686162,2.822163
taskbench_mcc.ompss_t2_n5000_d0.8,2,5000,0.8,0.000173,8.031442,11.304412,14.498873,20.881200,33.862295,47.260392,62.392228,11.289136,21.988273,63.660257,138.284814,509.866910,1199.113367,2141.087172,12.762084,24.578612,59.125738,152.486885,557.441978,1259.662488,1512.094672,13.634834,25.566938,60.427592,154.442627,459.893236,909.781973,1543.099191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_clang_t1_n1000_d0.8,1,1000,0.8,0.000879,0.932825,0.917482,0.918925,0.922704,0.930130,0.937319,0.944495,0.913107,0.914598,0.919378,0.920868,0.928438,0.935209,0.942731,0.917006,0.915420,0.916517,0.920641,0.928164,0.935256,0.944507,0.914085,0.915170,0.916898,0.929749,0.936401,0.944674,0.949621,0.921226,0.922906,0.927353,0.929368,0.936949,0.943851,0.951052,0.915802,0.914705,0.923049,0.920022,0.928044,0.935066,0.942290
taskbench_mcc.openmp_t1_n1000_d012.8,1,1000,012.8,0.013376,16.578388,17.734432,18.866014,21.227288,25.109804,31.177223,37.956655,16.195643,17.165339,18.970394,22.128129,29.323816,36.532903,46.132553,16.424465,17.658412,19.894767,23.665142,32.400894,40.399587,52.322471,16.622031,18.172824,20.785666,25.097466,34.891522,43.468988,54.808199,16.322923,17.274880,18.823576,21.539199,26.907659,32.285511,37.570357,16.290104,17.337847,18.869400,21.576238,26.868641,32.282972,37.499297
taskbench_clang_t1_n1000_d0.2,1,1000,0.2,0.000218,0.271225,0.271809,0.271535,0.275123,0.284159,0.289202,0.296664,0.265312,0.266767,0.268066,0.272191,0.279272,0.286222,0.293708,0.265515,0.266802,0.268340,0.271714,0.279093,0.286293,0.293779,0.265157,0.266421,0.268698,0.271809,0.279105,0.286305,0.293410,0.265145,0.266206,0.267673,0.271785,0.279140,0.286007,0.292647,0.265718,0.266218,0.268221,0.271606,0.279319,0.288033,0.293350
taskbench_clang_t1_n1000_d0.1,1,1000,0.1,0.000104,0.161517,0.157368,0.159669,0.162756,0.170112,0.177050,0.184071,0.152957,0.154245,0.155556,0.159323,0.166953,0.173604,0.181377,0.152910,0.154245,0.155532,0.159347,0.166702,0.177145,0.181401,0.152838,0.154245,0.155675,0.159037,0.166512,0.174069,0.181460,0.152946,0.153756,0.155199,0.159025,0.166655,0.173557,0.180805,0.153089,0.153828,0.155818,0.159061,0.166631,0.173736,0.180936
taskbench_clang_t1_n1000_d0.4,1,1000,0.4,0.000432,0.490808,0.489104,0.493228,0.493193,0.500727,0.507951,0.515044,0.483966,0.485301,0.486434,0.490344,0.497925,0.504494,0.512290,0.483811,0.485539,0.486624,0.490415,0.497627,0.504696,0.512302,0.486636,0.489986,0.486851,0.490105,0.497532,0.505054,0.512362,0.483906,0.484633,0.486100,0.493145,0.497639,0.504541,0.512004,0.483799,0.485384,0.486636,0.493479,0.497961,0.504792,0.511861
taskbench_mcc.ompss_t2_n1000_d03.2,2,1000,03.2,0.003285,13.069808,16.596997,18.102705,25.358057,40.252411,55.036902,72.433507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
taskbench_intel-17.0.1.132_t1_n1000_d0.1,1,1000,0.1,0.000088,0.155795,0.156939,0.155449,0.158894,0.161135,0.163269,0.165737,0.155997,0.153434,0.153506,0.155294,0.158441,0.161052,0.163400,0.153339,0.153196,0.153828,0.158167,0.158489,0.160944,0.166881,0.153363,0.154626,0.153756,0.155568,0.158763,0.161242,0.163221,0.153244,0.153291,0.158441,0.154388,0.158060,0.160432,0.165415,0.153017,0.154495,0.153697,0.155056,0.158000,0.160396,0.164139
taskbench_intel-17.0.1.132_t1_n1000_d0.2,1,1000,0.2,0.000219,0.267029,0.269318,0.268877,0.268686,0.274503,0.271189,0.273252,0.262761,0.263011,0.264478,0.266755,0.270367,0.270212,0.273645,0.264263,0.263464,0.265062,0.265348,0.270629,0.271702,0.273097,0.263095,0.264931,0.264001,0.268483,0.271404,0.272822,0.273848,0.265217,0.265217,0.265896,0.265551,0.269270,0.273061,0.272882,0.263262,0.265491,0.262702,0.266600,0.267851,0.272548,0.273740
taskbench_intel-17.0.1.132_t1_n1000_d0.4,1,1000,0.4,0.000421,0.479376,0.482714,0.479913,0.480175,0.486696,0.484109,0.489414,0.473106,0.473917,0.473940,0.474930,0.479305,0.481057,0.482929,0.476527,0.474608,0.475883,0.479198,0.484538,0.485110,0.488293,0.475633,0.479496,0.477374,0.481617,0.482690,0.487387,0.487781,0.478017,0.480723,0.478244,0.480199,0.482309,0.487018,0.485373,0.474596,0.472772,0.475323,0.475907,0.479269,0.480592,0.482547
taskbench_mcc.openmp_t1_n1000_d0.4,1,1000,0.4,0.000401,3.635406,4.764557,5.899405,8.252645,12.127471,18.173230,24.909997,3.225219,4.198360,5.980337,9.125102,16.297913,23.483527,33.076918,3.467083,4.706860,6.927371,10.733247,19.445455,27.455735,38.212574,3.665912,5.196095,8.100641,12.790978,22.106457,31.094956,43.377697,3.431845,4.410636,6.076908,9.137177,14.360201,19.408369,24.603224,3.330386,4.378438,5.923426,8.674276,13.939130,19.411123,24.490416
taskbench_mcc.ompss_t2_n1000_d01.6,2,1000,01.6,0.001533,12.326252,15.347934,18.977761,26.085877,41.693544,57.121384,74.684811,0.764501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
